ts,cpu_percent,rss_mb,power_w,energy_j_total
1759845138.4310305,19.00,788.92,4.962,1046.469428
1759845139.431029,22.00,788.92,5.041,1051.510186
1759845140.4310129,9.00,788.92,4.059,1055.568709
1759845141.4310129,48.00,788.92,8.499,1064.067222
1759845142.4309404,19.00,788.92,4.379,1068.445446
1759845143.4309614,50.00,788.92,8.879,1077.324390
1759845144.4310317,14.00,788.92,4.058,1081.382546
1759845145.4310243,38.00,788.92,8.165,1089.547870
1759845146.4309876,41.00,789.05,8.863,1098.410884
1759845147.4308982,48.00,789.05,8.383,1106.793309
1759845148.431008,24.00,789.17,5.114,1111.907554
1759845149.4310145,24.00,789.17,5.620,1117.528023
1759845150.4310005,14.00,789.30,4.314,1121.841793
1759845151.430929,51.00,789.30,8.882,1130.723545
1759845152.4309099,13.00,789.30,4.033,1134.756006
1759845153.4308999,25.00,789.42,6.638,1141.393562
1759845154.4307802,10.00,789.42,3.668,1145.061582
1759845155.4309282,36.00,789.42,8.048,1153.110390
1759845156.4308326,21.00,789.42,4.902,1158.011623
1759845157.43078,37.00,789.42,7.538,1165.548774
1759845158.4310315,28.00,789.42,5.541,1171.090813
1759845159.4310296,27.00,789.42,5.384,1176.474710
1759845160.4310045,9.00,789.42,4.140,1180.614714
1759845161.431008,25.00,789.42,6.134,1186.748426
1759845162.4310267,18.00,789.42,4.537,1191.285341
1759845163.4310226,37.00,789.42,6.920,1198.205734
1759845164.4310427,24.00,789.42,5.279,1203.484956
1759845165.4310358,38.00,789.42,8.201,1211.686290
1759845166.431001,21.00,789.42,5.681,1217.367367
1759845167.4309282,34.00,789.42,8.021,1225.387366
1759845168.4310322,7.00,789.42,3.152,1228.540129
1759845169.4310124,43.00,789.42,7.791,1236.330819
1759845170.4308999,20.00,789.42,5.444,1241.774287
1759845171.4309356,17.00,789.42,5.202,1246.976605
1759845172.4308999,26.00,789.42,5.320,1252.296354
1759845173.4309094,43.00,789.55,7.746,1260.042733
1759845174.4307575,21.00,789.55,4.567,1264.609189
1759845175.4310904,50.00,789.55,8.986,1273.597752
1759845176.4309916,19.00,789.55,4.652,1278.249291
1759845177.4309933,62.00,789.55,9.767,1288.016661
1759845178.4310372,13.00,789.55,6.346,1294.363141
1759845179.4310296,33.00,789.55,7.065,1301.427881
1759845180.431007,15.00,789.55,4.633,1306.060621
1759845181.4310207,31.00,789.55,8.143,1314.204155
1759845182.431041,11.00,789.55,3.814,1318.018415
1759845183.4310238,32.00,789.55,7.101,1325.119227
1759845184.4310179,14.00,789.55,4.129,1329.247817
1759845185.4310002,31.00,789.55,8.156,1337.403253
1759845186.43095,16.00,789.55,4.378,1341.781355
1759845187.4308999,54.00,789.55,8.910,1350.691183
1759845188.430912,18.00,789.55,4.256,1354.947459
1759845189.4308941,33.00,789.55,7.177,1362.124686
1759845190.430974,25.00,789.55,6.132,1368.256690
1759845191.4310057,32.00,789.80,7.028,1375.284870
1759845192.4308984,14.00,789.80,5.629,1380.913152
1759845193.4308987,20.00,789.80,5.373,1386.286490
1759845194.4309177,30.00,789.80,5.647,1391.933448
1759845195.4309883,54.00,789.80,9.546,1401.479627
1759845196.4309883,18.00,789.80,5.294,1406.773498
1759845197.4307976,48.00,789.80,8.383,1415.155251
1759845198.431,25.00,789.80,5.229,1420.385157
1759845199.4309108,48.00,789.80,8.288,1428.672673
1759845200.4310317,13.00,789.80,4.683,1433.356133
1759845201.4310253,37.00,789.80,7.736,1441.092075
1759845202.430984,23.00,789.80,5.557,1446.648579
1759845203.4308991,37.00,789.80,7.299,1453.947388
1759845204.4310484,19.00,789.80,5.482,1459.429857
1759845205.43103,56.00,789.80,9.245,1468.674646
1759845206.430982,16.00,789.80,4.322,1472.996656
1759845207.430899,48.00,789.80,8.299,1481.294853
1759845208.4310305,26.00,789.80,5.154,1486.449808
1759845209.4310231,38.00,789.80,7.538,1493.988240
1759845210.4307954,17.00,789.80,5.171,1499.158149
1759845211.4309871,24.00,789.80,9.050,1508.209762
1759845212.4309142,12.00,789.80,4.258,1512.467502
1759845213.4309113,56.00,789.80,9.151,1521.618724
1759845214.4308984,8.00,789.80,4.991,1526.609678
1759845215.4307668,28.00,789.80,6.663,1533.271892
1759845216.4309688,12.00,789.80,6.505,1539.777857
1759845217.4308887,37.00,789.80,7.192,1546.969672
1759845218.4310317,14.00,789.80,4.102,1551.072323
1759845219.431023,36.00,789.80,6.827,1557.899637
1759845220.431033,34.00,789.80,6.810,1564.709678
1759845221.4309833,25.00,789.80,6.717,1571.426458
1759845222.4308999,12.00,789.80,4.118,1575.544245
1759845223.4309003,22.00,789.92,5.783,1581.327311
1759845224.4309757,20.00,789.92,4.841,1586.168669
1759845225.4310117,32.00,789.92,6.950,1593.118907
1759845226.4309683,19.00,789.92,5.110,1598.228818
1759845227.4308553,35.00,789.92,7.117,1605.344584
1759845228.431035,32.00,789.92,5.881,1611.227076
1759845229.4310184,39.00,789.92,7.596,1618.822821
1759845230.4310153,12.00,789.92,4.699,1623.521600
1759845231.430986,58.00,789.92,9.333,1632.853913
1759845232.430856,20.00,789.92,4.885,1637.737811
1759845233.4309132,38.00,793.05,7.800,1645.537962
1759845234.4309118,32.00,793.05,5.818,1651.355635
1759845235.4308953,33.00,793.05,7.632,1658.987208
1759845236.43088,11.00,793.05,4.095,1663.081680
1759845237.4308915,36.00,789.18,7.527,1670.609248
1759845238.4310308,12.00,789.18,4.150,1674.759689
1759845239.4309714,23.00,789.18,5.451,1680.210542
1759845240.4309976,36.00,789.18,6.741,1686.951736
1759845241.43078,38.00,789.18,7.315,1694.265377
1759845242.4310312,13.00,789.18,4.234,1698.499985
1759845243.4308088,82.00,789.18,11.428,1709.925310
1759845244.4309907,150.00,798.05,16.346,1726.274084
1759845245.430792,21.00,798.30,6.190,1732.462789
1759845246.4309256,82.00,798.43,10.667,1743.131463
1759845247.4308987,113.00,1417.80,12.429,1755.559836
1759845248.431022,91.00,1422.55,11.002,1766.563654
1759845249.4309967,93.00,1422.55,9.687,1776.250518
1759845250.4310215,0.00,1422.55,2.332,1778.582116
1759845251.4309726,144.00,1422.68,12.294,1790.875725
1759845252.4308934,57.00,1422.80,11.550,1802.424341
1759845253.4309218,98.00,1422.93,10.922,1813.346920
1759845254.4307797,56.00,1422.93,7.464,1820.810097
1759845255.4309685,20.00,1422.93,4.512,1825.322719
1759845256.4309404,140.00,1422.93,11.546,1836.868039
1759845257.4309545,98.00,1422.93,9.911,1846.778963
1759845258.4309564,136.00,1423.05,11.462,1858.240909
1759845259.4307914,0.00,1423.05,1.737,1859.977965
1759845260.430986,97.00,1423.05,10.115,1870.095371
1759845261.4310312,113.00,1426.68,12.249,1882.344485
1759845262.431007,112.00,1423.28,11.252,1893.595921
1759845263.4307494,132.00,1423.28,10.162,1903.754831
1759845264.4310114,12.00,1423.28,3.467,1907.222595
1759845265.431049,110.00,1423.28,10.292,1917.515049
1759845266.4309623,96.00,1423.28,11.551,1929.064824
1759845267.430916,135.00,1423.41,12.138,1941.202122
1759845268.4309628,0.00,1423.41,1.810,1943.012482
1759845269.4310467,125.00,1423.41,10.989,1954.001955
1759845270.4310412,110.00,1423.41,10.555,1964.557104
1759845271.4310267,110.00,1559.41,12.699,1977.255497
1759845272.430889,78.00,1559.78,8.863,1986.117718
1759845273.430871,1.00,1559.78,1.685,1987.803077
1759845274.4309216,134.00,1559.78,11.260,1999.063180
1759845275.4309196,59.00,1559.78,9.254,2008.317551
1759845276.4307764,130.00,1559.78,13.626,2021.941357
1759845277.430786,14.00,1559.78,3.351,2025.292056
1759845278.4310327,117.00,1559.91,11.680,2036.974765
