ts,rps,avg_ms,p50_ms,p95_ms,ok,err
1759844306,9,1553.915,139.686,4552.650,9,0
1759844307,12,1175.683,141.030,4274.875,12,0
1759844308,14,2800.663,4223.568,5006.979,10,4
1759844309,18,1635.163,126.584,5002.855,16,2
1759844310,0,,,,0,0
1759844311,37,1234.196,125.534,4410.000,37,0
1759844312,20,958.270,75.391,3706.287,20,0
1759844313,16,1039.433,104.680,3262.781,16,0
1759844314,11,940.585,136.780,3375.849,11,0
1759844315,14,1330.356,141.743,3617.453,14,0
1759844316,0,,,,0,0
1759844317,0,,,,0,0
1759844318,45,1529.307,141.966,4350.548,45,0
1759844319,0,,,,0,0
1759844320,21,1100.387,148.949,4265.995,21,0
1759844321,0,,,,0,0
1759844322,23,1807.435,179.076,4938.461,22,1
1759844323,19,1966.382,163.592,5006.761,16,3
1759844324,20,1457.170,126.744,5006.064,18,2
1759844325,0,,,,0,0
1759844326,30,1405.727,129.905,4505.695,30,0
1759844327,0,,,,0,0
1759844328,19,868.039,139.295,3814.866,19,0
1759844329,0,,,,0,0
1759844330,21,2444.575,3848.794,4500.209,21,0
1759844331,13,1975.204,146.838,5003.416,11,2
1759844332,13,1910.500,173.203,5003.224,10,3
1759844333,18,1671.326,132.111,5004.363,15,3
1759844334,13,1859.925,131.386,5002.367,12,1
1759844335,0,,,,0,0
1759844336,21,1722.856,140.690,4531.600,21,0
1759844337,8,2010.023,3457.767,4296.707,8,0
1759844338,10,2769.635,3865.818,5002.761,9,1
1759844339,13,2691.920,4571.400,5003.787,10,3
1759844340,10,2060.850,185.702,5004.967,7,3
1759844341,14,1534.818,149.215,5004.913,10,4
1759844342,10,2532.790,197.056,5008.465,7,3
1759844343,23,1537.104,137.564,5005.956,19,4
1759844344,17,1779.948,129.531,5003.014,14,3
1759844345,17,826.977,111.137,4228.856,17,0
1759844346,18,1165.421,104.815,4101.880,18,0
1759844347,19,981.175,129.096,3481.533,19,0
1759844348,14,1263.926,95.428,3471.995,14,0
1759844349,15,1002.855,134.821,3431.012,15,0
1759844350,19,996.879,121.819,3622.862,19,0
1759844351,19,1161.759,129.177,3500.581,19,0
1759844352,12,972.408,124.998,3602.038,12,0
1759844353,12,960.447,123.304,3448.745,12,0
1759844354,18,1328.733,136.236,3866.769,18,0
1759844355,0,,,,0,0
1759844356,31,1339.001,134.837,4093.319,31,0
1759844357,17,1397.960,124.733,3747.101,17,0
1759844358,14,1179.104,128.473,3897.751,14,0
1759844359,12,1294.774,149.514,3642.240,12,0
1759844360,0,,,,0,0
1759844361,21,1198.399,150.930,3917.325,21,0
1759844362,17,1917.076,137.383,4667.264,16,1
1759844363,16,2269.880,3834.789,4840.068,15,1
1759844364,0,,,,0,0
1759844365,25,1176.363,130.514,4922.227,24,1
1759844366,15,1715.820,137.027,4307.297,15,0
1759844367,19,1452.687,122.171,4705.178,18,1
1759844368,26,1423.977,111.466,4353.155,26,0
1759844372,0,,,,0,0
1759844373,0,,,,0,0
1759844374,23,322.889,44.632,1352.115,23,0
1759844375,0,,,,0,0
1759844376,0,,,,0,0
1759844377,0,,,,0,0
1759844378,35,584.334,49.033,1475.708,35,0
1759844379,0,,,,0,0
1759844380,17,574.076,44.433,1360.099,17,0
1759844381,0,,,,0,0
1759844382,0,,,,0,0
1759844383,23,577.676,52.281,1473.406,23,0
1759844384,0,,,,0,0
1759844385,13,566.414,34.929,1443.951,13,0
1759844386,0,,,,0,0
1759844387,25,460.226,31.042,1407.194,25,0
1759844388,0,,,,0,0
1759844389,17,473.540,31.756,1285.505,17,0
1759844390,0,,,,0,0
1759844391,0,,,,0,0
1759844392,0,,,,0,0
1759844393,32,599.372,54.607,1461.753,32,0
1759844394,0,,,,0,0
1759844395,16,453.575,48.544,1393.591,16,0
1759844396,0,,,,0,0
1759844397,0,,,,0,0
1759844398,0,,,,0,0
1759844399,0,,,,0,0
1759844400,0,,,,0,0
1759844401,0,,,,0,0
1759844402,0,,,,0,0
1759844403,0,,,,0,0
1759844404,0,,,,0,0
1759844405,90,419.577,29.873,1378.040,90,0
