ts,cpu_percent,rss_mb,power_w,energy_j_total
1759844300.4502077,1576.00,683.76,58.466,19146.914179
1759844301.4502077,1575.00,685.51,58.608,19205.521939
1759844302.453915,1580.10,687.39,58.718,19264.457763
1759844303.450207,1546.70,688.39,58.462,19322.702792
1759844304.4502082,1578.00,700.14,58.166,19380.869086
1759844305.4502065,1577.00,686.19,58.490,19439.359414
1759844306.453914,1581.10,688.69,58.312,19497.887585
1759844307.4502068,1577.80,693.44,58.249,19555.920395
1759844308.4509146,1581.90,693.44,58.852,19614.813738
1759844309.450208,1573.10,701.82,58.476,19673.248891
1759844310.4502075,1573.00,703.32,58.457,19731.706017
1759844311.450207,1517.00,704.07,58.007,19789.713315
1759844312.450206,1516.00,704.07,58.494,19848.207672
1759844313.450207,1491.00,705.82,58.757,19906.964724
1759844314.4502087,1558.00,707.44,57.956,19964.921057
1759844315.4539123,1580.20,674.93,58.649,20023.787545
1759844316.4502094,1562.80,675.31,58.714,20082.283916
1759844317.450247,1512.90,680.18,58.605,20140.891432
1759844318.4502075,1519.10,688.31,57.922,20198.810656
1759844319.4502072,1572.00,689.18,58.438,20257.248800
1759844320.4519124,1550.40,592.94,58.585,20315.934136
1759844321.4502065,1578.70,594.44,58.700,20374.533900
1759844322.4502058,1578.00,605.19,58.318,20432.852110
1759844323.4502072,1579.00,607.44,58.347,20491.198946
1759844324.4529138,1576.70,608.81,58.146,20549.502630
1759844325.4502068,1561.20,629.06,58.619,20607.962563
1759844326.4502058,1555.00,629.81,58.319,20666.281933
1759844327.4502065,1576.00,636.44,58.528,20724.810042
1759844328.4502063,1550.00,637.94,58.643,20783.452714
1759844329.4529116,1577.70,652.81,58.478,20842.088795
1759844330.4502084,1577.30,653.56,57.964,20899.896081
1759844331.4502063,1575.00,653.81,58.549,20958.445125
1759844332.4502966,1580.40,657.06,58.581,21017.031401
1759844333.4505863,1579.00,659.06,58.706,21075.754090
1759844334.450955,1576.40,661.31,58.183,21133.958775
1759844335.4502082,1579.20,662.06,58.221,21192.136788
1759844336.4509127,1576.90,662.19,58.442,21250.619914
1759844337.452912,1548.90,663.69,58.728,21309.465406
1759844338.4502063,1583.30,663.69,58.727,21368.033432
1759844339.4529147,1577.70,671.44,58.370,21426.561725
1759844340.4502063,1577.30,672.81,58.488,21484.891531
1759844341.4502075,1579.00,673.56,58.274,21543.165979
1759844342.4559112,1577.00,687.06,58.502,21602.001949
1759844343.4502065,1578.00,687.81,58.137,21659.807404
1759844344.4502077,1575.00,690.69,58.408,21718.215946
1759844345.4502075,1541.00,691.31,58.512,21776.727820
1759844346.450208,1543.00,699.19,58.804,21835.532235
1759844347.4502072,1562.00,710.06,58.155,21893.687360
