ts,cpu_percent,rss_mb,power_w,energy_j_total
1759847091.964652,12.00,1337.77,3.326,2732.156885
1759847092.9648898,320.90,1337.90,20.394,2752.555758
1759847093.964811,276.00,1338.77,19.699,2772.253096
1759847094.9648747,90.00,1338.77,12.838,2785.092296
1759847095.9646842,200.00,1338.77,15.367,2800.456088
1759847096.9649334,22.00,1338.77,4.058,2804.514732
1759847097.9648008,155.00,1338.77,16.432,2820.944744
1759847098.9648008,98.00,1338.77,12.142,2833.086863
1759847099.96493,231.00,1339.02,18.794,2851.882836
1759847100.9646695,38.00,1339.02,5.629,2857.510812
1759847101.9649336,134.00,1339.02,12.291,2869.805031
1759847102.9648037,150.00,1339.02,14.677,2884.479798
1759847103.9648025,63.00,1339.02,10.679,2895.158543
1759847104.9647408,133.00,1339.02,14.750,2909.907223
1759847105.9648685,0.00,1339.02,1.748,2911.655022
1759847106.9649172,300.00,1339.02,20.688,2932.343811
1759847107.9646845,150.00,1339.02,15.437,2947.777183
1759847108.9648058,133.00,1339.02,14.701,2962.480392
1759847109.9646533,62.00,1339.02,7.687,2970.165919
1759847110.9649408,57.00,1339.02,9.891,2980.059449
1759847111.9649317,149.00,1339.02,14.807,2994.866540
1759847112.9646566,207.10,1339.02,18.176,3013.037330
1759847113.9648077,247.00,1339.02,18.433,3031.472830
1759847114.9648912,0.00,1339.02,2.405,3033.877731
1759847115.9648075,152.00,1339.02,15.476,3049.351996
1759847116.9649332,190.00,1339.02,15.661,3065.015225
1759847117.964937,181.00,1339.02,16.096,3081.111192
1759847118.9646714,87.00,1339.02,10.525,3091.633199
1759847119.9649525,16.00,1339.02,4.480,3096.114144
1759847120.9649398,169.00,1339.02,15.207,3111.320465
1759847121.9649165,102.00,1339.02,12.579,3123.898985
1759847122.964899,111.00,1339.02,13.285,3137.183924
1759847123.9647992,0.00,1339.02,1.301,3138.485007
1759847124.9647021,107.00,1339.02,13.343,3151.826465
1759847125.9648595,156.00,1339.02,15.804,3167.633248
1759847126.9648843,129.00,1339.02,13.442,3181.076024
1759847127.964652,167.00,1339.02,12.921,3193.993776
1759847128.964678,34.00,1339.02,5.473,3199.466480
1759847129.9648523,78.00,1339.02,11.717,3211.185932
1759847130.9647567,139.00,1339.02,14.846,3226.030499
1759847131.964805,138.00,1339.02,15.513,3241.544558
1759847132.9646704,14.00,1339.02,3.175,3244.719354
1759847133.9649394,114.00,1339.02,11.892,3256.614099
1759847134.964948,179.00,1339.27,16.547,3273.161115
1759847135.9649155,203.00,1339.27,16.271,3289.431520
1759847136.964679,163.00,1339.27,15.412,3304.839928
1759847137.964934,3.00,1339.27,2.346,3307.186114
1759847138.9649525,133.00,1339.27,13.886,3321.072186
1759847139.9649303,84.00,1339.27,12.543,3333.614940
1759847140.964916,128.00,1339.27,14.443,3348.058018
1759847141.9646995,34.00,1339.27,5.601,3353.657918
1759847142.9649386,57.00,1339.27,8.425,3362.085387
1759847143.96493,101.00,1339.27,12.603,3374.688199
1759847144.9647985,122.00,1339.27,13.678,3388.364495
1759847145.9649198,90.00,1339.27,11.653,3400.018823
1759847146.9648993,0.00,1339.27,1.858,3401.877094
1759847147.9646807,176.00,1339.27,16.038,3417.911721
1759847148.9648871,116.00,1339.27,13.852,3431.766849
1759847149.9648762,123.00,1339.27,14.002,3445.769011
1759847150.964653,43.00,1339.27,7.873,3453.639962
1759847151.9649334,12.00,1339.27,3.348,3456.988831
1759847152.964924,74.00,1339.27,11.151,3468.139742
1759847153.9649317,158.00,1339.27,14.856,3482.995478
1759847154.9649208,161.00,1339.27,15.191,3498.186662
1759847155.9648006,0.00,1339.27,3.866,3502.052253
1759847156.9649346,169.00,1339.27,16.412,3518.466640
1759847157.9648612,147.00,1339.27,14.583,3533.048572
1759847158.9648855,221.00,1339.27,17.397,3550.445867
1759847159.9646525,122.00,1339.27,10.904,3561.347389
1759847160.9649308,38.00,1339.27,6.254,3567.602927
1759847161.9649303,172.00,1339.27,15.303,3582.905684
1759847162.964927,224.00,1339.27,17.509,3600.414428
1759847163.9648864,70.00,1339.27,11.496,3611.910248
1759847164.964676,0.00,1339.27,2.481,3614.390955
1759847165.964881,231.90,1339.27,18.115,3632.509744
1759847166.9649136,183.00,1339.27,16.643,3649.153683
1759847167.9648948,289.00,1339.27,19.565,3668.717903
1759847168.9646842,145.00,1339.27,13.451,3682.165744
1759847169.9648182,11.00,1339.27,3.860,3686.026574
1759847170.964806,114.00,1339.27,13.265,3699.291799
1759847171.9649386,293.00,1339.27,19.904,3719.198670
1759847172.9649267,168.00,1339.27,17.041,3736.239703
