ts,cpu_percent,rss_mb,power_w,energy_j_total
1759843212.3089366,20.00,873.32,10.187,2448.536945
1759843213.3088984,11.00,873.32,8.061,2456.597654
1759843214.3088596,43.00,873.32,11.002,2467.599213
1759843215.308806,13.00,873.32,7.529,2475.127331
1759843216.3088012,27.00,873.32,9.365,2484.492419
1759843217.3088045,20.00,873.32,9.586,2494.078271
1759843218.3088005,22.00,873.32,8.950,2503.028199
1759843219.3088048,20.00,873.32,8.535,2511.563273
1759843220.308706,47.00,873.32,11.320,2522.882579
1759843221.3087306,3.00,873.32,5.818,2528.700375
1759843222.3088036,28.00,873.32,9.917,2538.618074
1759843223.3087287,23.00,873.32,8.908,2547.525705
1759843224.3088038,62.00,873.32,12.081,2559.607400
1759843225.3086548,24.00,873.32,8.854,2568.460161
1759843226.308688,34.00,873.32,11.242,2579.702991
1759843227.3089004,43.00,884.32,12.371,2592.076799
1759843228.3087966,34.00,884.32,10.069,2602.145072
1759843229.3087795,20.00,873.52,8.451,2610.596161
1759843230.3088732,30.00,873.52,10.001,2620.598516
1759843231.3088937,13.00,873.52,7.629,2628.227952
1759843232.3088837,36.00,873.52,10.792,2639.020100
1759843233.308854,14.00,873.52,7.921,2646.940978
1759843234.3089147,48.00,873.52,11.367,2658.309113
1759843235.308851,14.00,873.52,7.574,2665.882641
1759843236.3088436,20.00,873.52,8.523,2674.405812
1759843237.3088927,7.00,873.52,7.562,2681.967805
1759843238.3088613,70.00,881.12,14.474,2696.441767
1759843239.3088126,36.00,876.00,9.826,2706.267486
1759843240.308656,52.00,876.25,11.779,2718.044555
1759843241.3086965,100.00,880.63,15.666,2733.711080
1759843242.3086598,33.00,880.88,14.147,2747.857467
1759843243.308808,24.00,881.50,8.443,2756.301477
1759843244.3086925,78.00,881.75,13.050,2769.350027
1759843245.3086665,104.00,882.00,13.987,2783.336930
1759843246.3086684,64.00,1299.25,12.139,2795.476120
1759843247.3086908,2.00,1299.25,5.739,2801.215485
1759843248.3088913,147.00,1480.13,14.066,2815.284358
1759843249.3088615,77.00,1480.13,13.916,2829.200155
1759843250.3088634,81.00,1480.13,12.732,2841.932666
1759843251.3086865,61.00,1480.38,10.932,2852.862448
1759843252.3088999,13.00,1480.50,7.292,2860.155764
1759843253.3089359,58.00,1480.50,11.475,2871.631015
1759843254.308936,86.00,1480.50,14.788,2886.418636
1759843255.3087986,142.00,1480.50,14.771,2901.187885
1759843256.3089137,0.00,1480.50,5.331,2906.519842
1759843257.3088088,82.00,1480.63,13.101,2919.619906
1759843258.308806,68.00,1480.63,12.381,2932.000490
1759843259.3087983,103.00,1480.63,12.620,2944.620514
1759843260.3086832,145.00,1480.63,13.301,2957.920040
1759843261.3087072,14.00,1480.63,6.466,2964.386637
1759843262.3088088,76.00,1480.63,12.622,2977.009591
1759843263.3087332,67.00,1480.63,13.075,2990.083349
1759843264.308802,70.00,1480.63,11.537,3001.621222
1759843265.308653,0.00,1480.63,5.507,3007.127617
1759843266.308716,91.00,1480.63,12.052,3019.180870
1759843267.3086877,135.00,1494.13,18.258,3037.438452
1759843268.3088944,74.00,1494.13,12.833,3050.274357
1759843269.3088024,97.00,1494.13,13.140,3063.412751
1759843270.3086889,0.00,1494.13,5.411,3068.823504
1759843271.3088033,111.00,1494.25,13.789,3082.613629
1759843272.3089442,141.00,1494.25,16.175,3098.791017
1759843273.3088787,93.00,1494.25,13.428,3112.217924
1759843274.3093262,30.00,1494.25,8.098,3120.319405
1759843275.308914,122.10,1494.25,15.464,3135.776884
1759843276.3089275,68.00,1494.25,13.974,3149.751275
1759843277.3089309,97.00,1494.25,13.494,3163.245015
1759843278.308711,119.00,1494.25,14.117,3177.358687
1759843279.3087046,0.00,1494.25,5.335,3182.693207
1759843280.3088672,104.00,1494.38,13.026,3195.721067
1759843281.308708,55.00,1494.50,11.471,3207.190398
1759843282.308693,73.00,1494.63,12.836,3220.025997
1759843283.308669,54.00,1494.63,9.613,3229.638461
1759843284.3087344,31.00,1494.63,8.232,3237.870556
1759843285.3086967,107.00,1494.75,14.277,3252.146887
1759843286.3087156,108.00,1494.75,14.560,3266.706786
1759843287.308655,73.00,1494.75,12.408,3279.113798
1759843288.3086917,1.00,1494.75,6.835,3285.948863
1759843289.3087723,101.00,1494.75,12.394,3298.343851
1759843290.3088071,98.00,1494.75,14.130,3312.473881
1759843291.3089411,82.00,1494.75,13.293,3325.768280
1759843292.308658,93.00,1494.75,12.121,3337.885620
1759843293.308898,11.00,1494.75,6.904,3344.791425
1759843294.3089364,103.00,1501.63,16.005,3360.796999
1759843295.308892,115.00,1501.63,14.328,3375.123989
1759843296.3088078,72.00,1501.63,11.652,3386.775326
1759843297.3089178,0.00,1501.63,5.779,3392.555341
1759843298.3089085,112.00,1501.63,13.643,3406.198128
1759843299.3089285,99.00,1496.94,13.260,3419.458165
1759843300.3087013,112.00,1497.07,13.664,3433.118714
1759843301.308691,99.00,1497.19,14.732,3447.850732
1759843302.3086865,0.00,1497.19,5.624,3453.474985
1759843303.3088007,49.00,1497.19,10.441,3463.916914
1759843304.3086967,147.00,1497.19,15.524,3479.438908
1759843305.3086927,116.00,1703.32,13.301,3492.740082
1759843306.308661,4.00,1704.57,6.348,3499.087966
1759843307.308747,90.00,1706.07,12.271,3511.360274
1759843308.3086948,103.00,1709.07,16.967,3528.326417
1759843309.3086865,38.00,1703.09,10.832,3539.158542
1759843310.3086874,74.00,1703.09,12.261,3551.419314
1759843311.308773,0.00,1703.09,4.933,3556.353017
1759843312.3089395,182.00,1727.21,22.180,3578.536371
1759843313.3089213,77.00,1727.34,12.495,3591.030663
1759843314.3089204,66.00,1710.23,14.854,3605.884812
1759843315.3086586,25.00,1710.23,8.331,3614.214014
1759843316.3089385,61.00,1710.23,9.882,3624.098449
1759843317.3089333,81.00,1710.36,14.398,3638.496301
1759843318.3088665,63.00,1710.36,12.881,3651.376822
1759843319.3087997,106.00,1710.36,13.313,3664.688983
1759843320.308928,1.00,1710.36,4.840,3669.529730
1759843321.308746,66.00,1710.36,12.187,3681.714147
1759843322.308803,74.00,1710.36,13.023,3694.737795
1759843323.3087006,83.00,1710.36,12.284,3707.020844
1759843324.3086658,63.00,1710.36,9.812,3716.832404
1759843325.3087304,32.00,1710.36,7.835,3724.668321
1759843326.3087335,91.00,1710.36,13.643,3738.310864
1759843327.3086874,85.00,1710.36,17.125,3755.435149
1759843328.3086553,57.00,1710.36,11.997,3767.431945
1759843329.308656,0.00,1710.36,5.402,3772.833603
1759843330.308817,107.00,1710.36,13.841,3786.676891
1759843331.3086896,103.00,1710.48,14.408,3801.082798
1759843332.3088965,71.00,1710.73,12.807,3813.892702
1759843333.308658,62.00,1710.73,11.904,3825.794161
1759843334.308758,27.00,1712.98,9.627,3835.422188
1759843335.3089316,90.00,1712.98,13.415,3848.839634
1759843336.3089316,90.00,1712.98,14.050,3862.890074
1759843337.3088043,127.00,1714.73,16.949,3879.837297
1759843338.3087432,0.00,1714.73,6.719,3886.555419
1759843339.3087106,173.00,1714.25,18.795,3905.349866
1759843340.3088129,110.00,1714.25,16.442,3921.793183
1759843341.3088093,69.00,1714.25,12.011,3933.803833
1759843342.3086739,66.00,1714.25,12.731,3946.532744
1759843343.3087106,0.00,1714.25,5.493,3952.025832
1759843344.3086975,89.00,1714.25,14.376,3966.401406
1759843345.3088098,61.00,1714.25,13.361,3979.763554
1759843346.3087597,111.00,1714.25,14.559,3994.321806
1759843347.3086786,5.00,1714.25,6.954,4001.275096
1759843348.3087533,69.00,1714.25,11.615,4012.891216
1759843349.3086655,96.00,1714.25,14.676,4027.565739
1759843350.3086889,82.00,1714.25,13.815,4041.380706
1759843351.308698,105.00,1714.25,13.844,4055.224421
1759843352.3089235,0.00,1714.25,5.585,4060.810588
1759843353.3089314,82.00,1714.25,13.261,4074.071480
1759843354.3089328,67.00,1714.25,14.995,4089.066558
1759843355.3089375,70.00,1714.25,12.233,4101.299742
1759843356.3086588,15.00,1714.25,7.830,4109.127725
1759843357.3088715,53.00,1714.25,10.506,4119.635755
1759843358.3089309,62.00,1714.25,13.332,4132.968423
1759843359.3089178,93.00,1714.25,14.718,4147.685793
1759843360.3088822,82.00,1714.25,13.071,4160.756621
1759843361.3088086,0.00,1714.25,5.312,4166.068314
1759843362.308684,12.00,1714.25,12.223,4178.290268
1759843363.308872,30.00,1714.25,10.886,4189.178485
1759843364.308658,34.00,1714.25,10.909,4200.084951
1759843365.3086984,31.00,1714.25,9.726,4209.811244
1759843366.3086853,30.00,1714.25,9.650,4219.461427
1759843367.308715,36.00,1714.25,10.314,4229.775549
1759843368.308685,27.00,1714.25,11.458,4241.233100
1759843369.3086555,20.00,1714.25,8.358,4249.590928
1759843370.3086822,24.00,1714.25,8.724,4258.315454
1759843371.3088732,23.00,1714.25,8.614,4266.931398
1759843372.3086843,27.00,1714.25,9.350,4276.279824
1759843373.3089156,13.00,1714.25,7.976,4284.257892
1759843374.3086863,27.00,1714.25,9.385,4293.641047
1759843375.3088303,52.00,1717.87,11.383,4305.025295
1759843376.3086839,18.00,1717.87,7.939,4312.963507
1759843377.3089168,33.00,1717.87,10.187,4323.153239
1759843378.3086843,24.00,1717.87,9.075,4332.226458
1759843379.3089247,15.00,1717.87,8.089,4340.317197
1759843380.3086867,19.00,1717.87,8.876,4349.191259
1759843381.3089156,32.00,1717.87,9.556,4358.749828
1759843382.3086991,24.00,1717.87,9.765,4368.512986
1759843383.3087986,25.00,1717.87,11.520,4380.034502
1759843384.3086839,19.00,1717.87,9.490,4389.523675
1759843385.308728,53.00,1717.87,12.100,4401.624169
1759843386.3086536,19.00,1718.00,8.261,4409.884280
1759843387.3086934,35.00,1718.12,10.450,4420.334631
1759843388.3086882,26.00,1718.12,8.815,4429.149916
1759843389.3086858,33.00,1718.12,10.258,4439.408252
1759843390.3087053,29.00,1718.12,9.459,4448.867822
1759843391.308656,32.00,1718.12,10.177,4459.044615
1759843392.30866,18.00,1718.12,9.253,4468.297155
1759843393.3089392,27.00,1718.12,9.801,4478.101146
1759843394.3089118,11.00,1718.25,7.702,4485.802725
1759843395.308897,65.00,1718.25,13.695,4499.497881
1759843396.308938,25.00,1718.25,8.831,4508.329706
1759843397.3089247,33.00,1718.25,11.027,4519.356778
1759843398.308854,20.00,1718.25,10.886,4530.242309
1759843399.3089366,28.00,1718.25,9.707,4539.950048
1759843400.3089297,24.00,1718.25,8.703,4548.652540
1759843401.3089132,28.00,1718.25,9.932,4558.584705
1759843402.308867,20.00,1718.25,8.789,4567.373195
1759843403.3087382,39.00,1718.25,11.123,4578.494993
1759843404.308807,24.00,1718.25,8.955,4587.450842
1759843405.308815,37.00,1718.25,10.383,4597.833872
1759843406.3088078,11.00,1718.25,7.752,4605.585683
1759843407.3088078,36.00,1718.25,10.782,4616.367516
1759843408.308731,25.00,1718.25,9.563,4625.929442
1759843409.3086932,35.00,1718.25,9.888,4635.817234
